profile_id,mechanism,first_best_welfare,reported_first_best_welfare,welfare,regret,rounding_regret,budget_imbalance
32,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
32,lp_integrated_supply_demand,0.0,0.0,0.0,0.0,0.0,0.0
33,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
33,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
33,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
33,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
33,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
33,lp_integrated_supply_demand,0.0,0.0,-0.7444546867008313,0.7444546867008313,0.0,0.0
34,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
34,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
34,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
34,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
34,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
34,lp_integrated_supply_demand,0.0,0.0,-1.2201709573898967,1.2201709573898967,0.0,0.0
35,equal_split_first_best,0.0,0.0,0.0,0.0,0.0,0.0
35,equal_split_vickrey_majority,0.0,0.0,0.0,0.0,0.0,0.0
35,equal_split_vickrey_faltings_fair,0.0,0.0,0.0,0.0,0.0,0.0
35,lp_demand_vickrey_coarse,0.0,0.0,0.0,0.0,0.0,0.0
35,lp_demand_vickrey_fine,0.0,0.0,0.0,0.0,0.0,0.0
35,lp_integrated_supply_demand,0.0,0.0,-0.3711560606816846,0.3711560606816846,0.0,0.0
36,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
36,equal_split_vickrey_majority,15.0,15.0,15.0,0.0,0.0,0.0
36,equal_split_vickrey_faltings_fair,15.0,15.0,15.0,0.0,0.0,0.0
36,lp_demand_vickrey_coarse,15.0,15.0,15.0,0.0,0.0,0.0
36,lp_demand_vickrey_fine,15.0,15.0,15.0,0.0,0.0,0.0
36,lp_integrated_supply_demand,15.0,15.0,15.0,0.0,0.0,0.0
37,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
37,equal_split_vickrey_majority,15.0,15.0,0.0,15.0,0.0,0.0
37,equal_split_vickrey_faltings_fair,15.0,15.0,10.0,5.0,0.0,-2.220446049250313e-16
37,lp_demand_vickrey_coarse,15.0,15.0,14.9999985,1.4999999997655777e-06,0.0,0.0
37,lp_demand_vickrey_fine,15.0,15.0,14.999750066666003,0.0002499333339969212,0.0,0.0
37,lp_integrated_supply_demand,15.0,15.0,13.94818006942463,1.0518199305753697,0.0,0.0
38,equal_split_first_best,15.0,15.0,15.0,0.0,0.0,0.0
38,equal_split_vickrey_majority,15.0,15.0,0.0,15.0,0.0,0.0
38,equal_split_vickrey_faltings_fair,15.0,15.0,0.0,15.0,0.0,0.0
38,lp_demand_vickrey_coarse,15.0,15.0,7.499997,7.500003,0.0,0.0
38,lp_demand_vickrey_fine,15.0,15.0,7.500003,7.499997,0.0,8.881784197001252e-16
